question_index,question_id,category,mode,entity,slot,model_name,model_id,expected_value,expected_source,expected_revision,expected_deleted,model_value,model_source,model_revision,model_rationale,answer_correct,source_correct,revision_correct,latency_ms,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,raw_content
1,project_003:capital_plan,corrected,qsr,project_003,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,capital_plan_corrected_project_003,src/project_003/capital_plan/rev-5.md,5,False,capital_plan_corrected_project_003,src/project_003/capital_plan/rev-5.md,5,The only current (current_flag=true) entry for entity project_003 and slot capital_plan is revision 5 with value capital_plan_corrected_project_003. No deletion tombstone exists for this entity-slot combination.,True,True,True,1677.0,2444,236,2680,0.00040824,"{
""value"": ""capital_plan_corrected_project_003"",
""source"": ""src/project_003/capital_plan/rev-5.md"",
""revision"": 5,
""rationale"": ""The only current (current_flag=true) entry for entity project_003 and slot capital_plan is revision 5 with value capital_plan_corrected_project_003. No deletion tombstone exists for this entity-slot combination.""
}"
1,project_003:capital_plan,corrected,isc,project_003,capital_plan,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,capital_plan_corrected_project_003,src/project_003/capital_plan/rev-5.md,5,False,capital_plan_corrected_project_003,src/project_003/capital_plan/rev-5.md,5,The compiled record for entity 'project_003' and slot 'capital_plan' indicates a non-deleted value with revision 5. The value is taken directly from the record.,True,True,True,1513.8,195,206,401,8.498e-05,"{
""value"": ""capital_plan_corrected_project_003"",
""source"": ""src/project_003/capital_plan/rev-5.md"",
""revision"": 5,
""rationale"": ""The compiled record for entity 'project_003' and slot 'capital_plan' indicates a non-deleted value with revision 5. The value is taken directly from the record.""
}"
2,project_008:risk_owner,deleted,qsr,project_008,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_008/risk_owner/delete.md,5,True,UNKNOWN,src/project_008/risk_owner/delete.md,5,The deletion tombstone for project_008 risk_owner at revision 5 indicates that the current value is unknown.,True,True,True,1788.4,2436,232,2668,0.000406,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_008/risk_owner/delete.md"",
""revision"": 5,
""rationale"": ""The deletion tombstone for project_008 risk_owner at revision 5 indicates that the current value is unknown.""
}"
2,project_008:risk_owner,deleted,isc,project_008,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_008/risk_owner/delete.md,5,True,UNKNOWN,src/project_008/risk_owner/delete.md,5,"The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.",True,True,True,1682.7,186,262,448,9.94e-05,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_008/risk_owner/delete.md"",
""revision"": 5,
""rationale"": ""The compiled record indicates deletion (deleted: true), so the value is set to UNKNOWN per instructions.""
}"
3,project_066:risk_owner,ordinary,qsr,project_066,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_v4_4862,src/project_066/risk_owner/rev-4.md,4,False,risk_owner_v4_4862,src/project_066/risk_owner/rev-4.md,4,"The entry for entity project_066, slot risk_owner with current_flag true is doc_id project_066_risk_owner_r4, which has value risk_owner_v4_4862, revision 4, and is not deleted.",True,True,True,2162.6,2451,330,2781,0.00043554,"{
""value"": ""risk_owner_v4_4862"",
""source"": ""src/project_066/risk_owner/rev-4.md"",
""revision"": 4,
""rationale"": ""The entry for entity project_066, slot risk_owner with current_flag true is doc_id project_066_risk_owner_r4, which has value risk_owner_v4_4862, revision 4, and is not deleted.""
}"
3,project_066:risk_owner,ordinary,isc,project_066,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_v4_4862,src/project_066/risk_owner/rev-4.md,4,False,risk_owner_v4_4862,src/project_066/risk_owner/rev-4.md,4,"The compiled record for entity project_066 slot risk_owner has revision 4, not deleted, so the current value is risk_owner_v4_4862.",True,True,True,2436.0,194,277,471,0.00010472,"{
""value"": ""risk_owner_v4_4862"",
""source"": ""src/project_066/risk_owner/rev-4.md"",
""revision"": 4,
""rationale"": ""The compiled record for entity project_066 slot risk_owner has revision 4, not deleted, so the current value is risk_owner_v4_4862.""
}"
4,project_002:risk_owner,corrected,qsr,project_002,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_corrected_project_002,src/project_002/risk_owner/rev-4.md,4,False,risk_owner_corrected_project_002,src/project_002/risk_owner/rev-4.md,4,"Both revision 3 and revision 4 have current_flag true, but revision 4 is higher, so it wins.",True,True,True,2546.4,2449,334,2783,0.00043638,"{
""value"": ""risk_owner_corrected_project_002"",
""source"": ""src/project_002/risk_owner/rev-4.md"",
""revision"": 4,
""rationale"": ""Both revision 3 and revision 4 have current_flag true, but revision 4 is higher, so it wins.""
}"
4,project_002:risk_owner,corrected,isc,project_002,risk_owner,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,risk_owner_corrected_project_002,src/project_002/risk_owner/rev-4.md,4,False,risk_owner_corrected_project_002,src/project_002/risk_owner/rev-4.md,4,"The compiled record for entity 'project_002' slot 'risk_owner' indicates the value is 'risk_owner_corrected_project_002' from revision 4, source 'src/project_002/risk_owner/rev-4.md', and is not deleted.",True,True,True,5017.4,195,217,412,8.806e-05,"{
""value"": ""risk_owner_corrected_project_002"",
""source"": ""src/project_002/risk_owner/rev-4.md"",
""revision"": 4,
""rationale"": ""The compiled record for entity 'project_002' slot 'risk_owner' indicates the value is 'risk_owner_corrected_project_002' from revision 4, source 'src/project_002/risk_owner/rev-4.md', and is not deleted.""
}"
5,project_008:launch_region,deleted,qsr,project_008,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_008/launch_region/delete.md,3,True,UNKNOWN,src/project_008/launch_region/delete.md,3,Deletion tombstone indicates the answer is UNKNOWN.,True,True,True,1813.5,2431,242,2673,0.0004081,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_008/launch_region/delete.md"",
""revision"": 3,
""rationale"": ""Deletion tombstone indicates the answer is UNKNOWN.""
}"
5,project_008:launch_region,deleted,isc,project_008,launch_region,deepseek-v4-flash,accounts/fireworks/models/deepseek-v4-flash,UNKNOWN,src/project_008/launch_region/delete.md,3,True,UNKNOWN,src/project_008/launch_region/delete.md,3,"The record is marked as deleted, so the value is set to UNKNOWN per instructions.",True,True,True,2551.8,188,240,428,9.352e-05,"{
""value"": ""UNKNOWN"",
""source"": ""src/project_008/launch_region/delete.md"",
""revision"": 3,
""rationale"": ""The record is marked as deleted, so the value is set to UNKNOWN per instructions.""
}"
